route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
9,2,1608,"NEW YORK PENN STATION",0,"7624",655
9,2,1609,"NEW YORK PENN STATION",0,"7628",656
9,2,1610,"NEW YORK PENN STATION",0,"7632",657
9,16,1611,"NEW YORK PENN STATION",0,"3888",658
9,17,1612,"NEW YORK PENN STATION",0,"3888",659
9,4,1613,"NEW YORK PENN STATION",0,"3716",660
9,4,1614,"NEW YORK PENN STATION",0,"3720",661
9,4,1615,"NEW YORK PENN STATION",0,"3808",662
9,4,1616,"NEW YORK PENN STATION",0,"3928",663
9,4,1617,"NEW YORK PENN STATION",0,"3934",664
9,4,1618,"NEW YORK PENN STATION",0,"3812",665
9,4,1619,"NEW YORK PENN STATION",0,"3814",666
9,4,1620,"NEW YORK PENN STATION",0,"3864",667
9,4,1621,"NEW YORK PENN STATION",0,"3154",668
9,4,1622,"NEW YORK PENN STATION",0,"3810",669
9,4,1623,"NEW YORK PENN STATION",0,"3858",670
9,4,1624,"NEW YORK PENN STATION",0,"3700",671
9,4,1625,"NEW YORK PENN STATION",0,"3702",672
9,4,1626,"NEW YORK PENN STATION",0,"3868",673
9,4,1627,"NEW YORK PENN STATION",0,"3834",674
9,4,1628,"NEW YORK PENN STATION",0,"3806",675
9,4,1629,"NEW YORK PENN STATION",0,"3838",676
9,4,1630,"NEW YORK PENN STATION",0,"3852",677
9,4,1631,"NEW YORK PENN STATION",0,"3856",678
9,4,1632,"NEW YORK PENN STATION",0,"3876",679
9,4,1633,"NEW YORK PENN STATION",0,"3882",680
9,4,1634,"NEW YORK PENN STATION",0,"3892",681
9,4,1635,"NEW YORK PENN STATION",0,"3860",682
9,4,1636,"NEW YORK PENN STATION",0,"3862",683
9,4,1637,"NEW YORK PENN STATION",0,"3880",684
9,4,1638,"NEW YORK PENN STATION",0,"3886",685
9,4,1639,"NEW YORK PENN STATION",0,"3818",686
9,4,1640,"NEW YORK PENN STATION",0,"3850",687
9,4,1641,"NEW YORK PENN STATION",0,"3866",688
9,3,1642,"NEW YORK PENN STATION",0,"3800",689
9,4,1643,"NEW YORK PENN STATION",0,"3836",690
9,4,1644,"NEW YORK PENN STATION",0,"3840",691
9,4,1645,"NEW YORK PENN STATION",0,"3842",692
9,4,1646,"NEW YORK PENN STATION",0,"3844",693
9,4,1647,"NEW YORK PENN STATION",0,"3846",694
9,4,1648,"NEW YORK PENN STATION",0,"3848",695
9,4,1649,"NEW YORK PENN STATION",0,"3872",696
9,4,1650,"NEW YORK PENN STATION",0,"3874",697
9,4,1651,"NEW YORK PENN STATION",0,"3828",698
9,4,1652,"NEW YORK PENN STATION",0,"3832",699
9,4,1653,"NEW YORK PENN STATION",0,"3830",700
9,4,1654,"NEW YORK PENN STATION",0,"3742",701
9,4,1655,"NEW YORK PENN STATION",0,"3984",702
9,4,1656,"NEW YORK PENN STATION",0,"3738",703
9,4,1657,"NEW YORK PENN STATION",0,"3910",704
9,4,1658,"NEW YORK PENN STATION",0,"3898",705
9,4,1659,"NEW YORK PENN STATION",0,"3914",706
9,4,1660,"NEW YORK PENN STATION",0,"3926",707
9,4,1661,"NEW YORK PENN STATION",0,"3930",708
9,4,1662,"NEW YORK PENN STATION",0,"3122",709
9,4,1663,"NEW YORK PENN STATION",0,"3932",710
9,4,1664,"NEW YORK PENN STATION",0,"3704",711
9,4,1665,"NEW YORK PENN STATION",0,"3722",712
9,4,1666,"NEW YORK PENN STATION",0,"3936",713
9,4,1667,"NEW YORK PENN STATION",0,"3960",714
9,4,1668,"NEW YORK PENN STATION",0,"3918",715
9,4,1669,"NEW YORK PENN STATION",0,"3920",716
9,4,1670,"NEW YORK PENN STATION",0,"3922",717
9,4,1671,"NEW YORK PENN STATION",0,"3924",718
9,4,1672,"NEW YORK PENN STATION",0,"3126",719
9,4,1673,"NEW YORK PENN STATION",0,"3870",720
9,4,1674,"NEW YORK PENN STATION",0,"3718",721
9,4,1675,"NEW YORK PENN STATION",0,"3706",722
9,4,1676,"NEW YORK PENN STATION",0,"3708",723
9,4,1677,"NEW YORK PENN STATION",0,"3710",724
9,4,1678,"NEW YORK PENN STATION",0,"3712",725
9,4,1679,"NEW YORK PENN STATION",0,"3714",726
9,4,1680,"NEW YORK PENN STATION",0,"3124",727
9,4,1681,"NEW YORK PENN STATION",0,"3954",728
9,5,1682,"TRENTON TRANSIT CENTER",1,"8841",729
9,6,1683,"TRENTON TRANSIT CENTER",1,"8845",730
9,5,1684,"TRENTON TRANSIT CENTER",1,"8861",731
9,6,1685,"TRENTON TRANSIT CENTER",1,"8847",732
9,5,1686,"TRENTON TRANSIT CENTER",1,"8865",733
9,6,1687,"TRENTON TRANSIT CENTER",1,"8851",734
9,6,1688,"TRENTON TRANSIT CENTER",1,"8855",735
9,6,1689,"TRENTON TRANSIT CENTER",1,"3873",736
9,6,1690,"TRENTON TRANSIT CENTER",1,"3875",737
