service_id,date,exception_type
11,20140729,1
11,20140730,1
11,20140731,1
11,20140801,1
11,20140804,1
11,20140805,1
11,20140806,1
11,20140807,1
11,20140808,1
11,20140811,1
11,20140812,1
11,20140813,1
11,20140814,1
11,20140815,1
11,20140818,1
11,20140819,1
11,20140820,1
11,20140821,1
11,20140822,1
11,20140825,1
11,20140826,1
11,20140827,1
11,20140828,1
11,20140829,1
11,20140901,1
11,20140902,1
11,20140903,1
11,20140904,1
11,20140905,1
11,20140908,1
12,20140316,1
12,20140323,1
12,20140330,1
12,20140406,1
12,20140413,1
12,20140420,1
12,20140427,1
12,20140504,1
12,20140511,1
12,20140518,1
12,20140525,1
12,20140526,1
12,20140601,1
12,20140608,1
12,20140615,1
12,20140622,1
12,20140629,1
12,20140704,1
12,20140706,1
12,20140713,1
12,20140720,1
12,20140727,1
12,20140803,1
12,20140810,1
12,20140817,1
12,20140824,1
12,20140831,1
12,20140901,1
13,20140526,1
13,20140704,1
13,20140706,1
13,20140901,1
14,20140314,1
14,20140321,1
14,20140328,1
14,20140404,1
14,20140411,1
14,20140418,1
14,20140425,1
14,20140502,1
14,20140509,1
14,20140516,1
14,20140523,1
14,20140530,1
14,20140606,1
14,20140613,1
14,20140620,1
14,20140627,1
14,20140703,1
14,20140704,1
14,20140711,1
14,20140718,1
14,20140725,1
14,20140801,1
14,20140808,1
14,20140815,1
14,20140822,1
14,20140829,1
14,20140905,1
15,20140313,1
15,20140317,1
15,20140318,1
15,20140319,1
15,20140320,1
15,20140324,1
15,20140325,1
15,20140326,1
15,20140327,1
15,20140331,1
15,20140401,1
15,20140402,1
15,20140403,1
15,20140407,1
15,20140408,1
15,20140409,1
15,20140410,1
15,20140414,1
15,20140415,1
15,20140416,1
15,20140417,1
15,20140421,1
15,20140422,1
15,20140423,1
15,20140424,1
15,20140428,1
15,20140429,1
15,20140430,1
15,20140501,1
15,20140505,1
15,20140506,1
15,20140507,1
15,20140508,1
15,20140512,1
15,20140513,1
15,20140514,1
15,20140515,1
15,20140519,1
15,20140520,1
15,20140521,1
15,20140522,1
15,20140527,1
15,20140528,1
15,20140529,1
15,20140602,1
15,20140603,1
15,20140604,1
15,20140605,1
15,20140609,1
15,20140610,1
15,20140611,1
15,20140612,1
15,20140616,1
15,20140617,1
15,20140618,1
15,20140619,1
15,20140623,1
15,20140624,1
15,20140625,1
15,20140626,1
15,20140630,1
15,20140701,1
15,20140702,1
15,20140707,1
15,20140708,1
15,20140709,1
15,20140710,1
15,20140714,1
15,20140715,1
15,20140716,1
15,20140717,1
15,20140721,1
15,20140722,1
15,20140723,1
15,20140724,1
15,20140728,1
15,20140729,1
15,20140730,1
15,20140731,1
15,20140804,1
15,20140805,1
15,20140806,1
15,20140807,1
15,20140811,1
15,20140812,1
15,20140813,1
15,20140814,1
15,20140818,1
15,20140819,1
15,20140820,1
15,20140821,1
15,20140825,1
15,20140826,1
15,20140827,1
15,20140828,1
15,20140902,1
15,20140903,1
15,20140904,1
16,20140314,1
16,20140321,1
16,20140328,1
16,20140404,1
16,20140411,1
16,20140418,1
16,20140425,1
16,20140502,1
16,20140509,1
16,20140516,1
16,20140523,1
16,20140530,1
16,20140606,1
16,20140613,1
16,20140620,1
16,20140627,1
16,20140704,1
16,20140711,1
16,20140718,1
16,20140725,1
16,20140801,1
16,20140808,1
16,20140815,1
16,20140822,1
16,20140829,1
16,20140905,1
17,20140313,1
17,20140317,1
17,20140318,1
17,20140319,1
17,20140320,1
17,20140324,1
17,20140325,1
17,20140326,1
17,20140327,1
17,20140331,1
17,20140401,1
17,20140402,1
17,20140403,1
17,20140407,1
17,20140408,1
17,20140409,1
17,20140410,1
17,20140414,1
17,20140415,1
17,20140416,1
17,20140417,1
17,20140421,1
17,20140422,1
17,20140423,1
17,20140424,1
17,20140428,1
17,20140429,1
17,20140430,1
17,20140501,1
17,20140505,1
17,20140506,1
17,20140507,1
17,20140508,1
17,20140512,1
17,20140513,1
17,20140514,1
17,20140515,1
17,20140519,1
17,20140520,1
17,20140521,1
17,20140522,1
17,20140527,1
17,20140528,1
17,20140529,1
17,20140602,1
17,20140603,1
17,20140604,1
17,20140605,1
17,20140609,1
17,20140610,1
17,20140611,1
17,20140612,1
17,20140616,1
17,20140617,1
17,20140618,1
17,20140619,1
17,20140623,1
17,20140624,1
17,20140625,1
17,20140626,1
17,20140630,1
17,20140701,1
17,20140702,1
17,20140703,1
17,20140707,1
17,20140708,1
17,20140709,1
17,20140710,1
17,20140714,1
17,20140715,1
17,20140716,1
17,20140717,1
17,20140721,1
17,20140722,1
17,20140723,1
17,20140724,1
17,20140728,1
17,20140729,1
17,20140730,1
17,20140731,1
17,20140804,1
17,20140805,1
17,20140806,1
17,20140807,1
17,20140811,1
17,20140812,1
17,20140813,1
17,20140814,1
17,20140818,1
17,20140819,1
17,20140820,1
17,20140821,1
17,20140825,1
17,20140826,1
17,20140827,1
17,20140828,1
17,20140902,1
17,20140903,1
17,20140904,1
18,20140313,1
18,20140314,1
18,20140318,1
18,20140319,1
18,20140320,1
18,20140321,1
18,20140325,1
18,20140326,1
18,20140327,1
18,20140328,1
18,20140401,1
18,20140402,1
18,20140403,1
18,20140404,1
18,20140408,1
18,20140409,1
18,20140410,1
18,20140411,1
18,20140415,1
18,20140416,1
18,20140417,1
18,20140418,1
18,20140422,1
18,20140423,1
18,20140424,1
18,20140425,1
18,20140429,1
18,20140430,1
18,20140501,1
18,20140502,1
18,20140506,1
18,20140507,1
18,20140508,1
18,20140509,1
18,20140513,1
18,20140514,1
18,20140515,1
18,20140516,1
18,20140520,1
18,20140521,1
18,20140522,1
18,20140523,1
18,20140528,1
18,20140529,1
18,20140530,1
18,20140603,1
18,20140604,1
18,20140605,1
18,20140606,1
18,20140610,1
18,20140611,1
18,20140612,1
18,20140613,1
18,20140617,1
18,20140618,1
18,20140619,1
18,20140620,1
18,20140624,1
18,20140625,1
18,20140626,1
18,20140627,1
18,20140701,1
18,20140702,1
18,20140703,1
18,20140708,1
18,20140709,1
18,20140710,1
18,20140711,1
18,20140715,1
18,20140716,1
18,20140717,1
18,20140718,1
18,20140722,1
18,20140723,1
18,20140724,1
18,20140725,1
18,20140729,1
18,20140730,1
18,20140731,1
18,20140801,1
18,20140805,1
18,20140806,1
18,20140807,1
18,20140808,1
18,20140812,1
18,20140813,1
18,20140814,1
18,20140815,1
18,20140819,1
18,20140820,1
18,20140821,1
18,20140822,1
18,20140826,1
18,20140827,1
18,20140828,1
18,20140829,1
18,20140903,1
18,20140904,1
18,20140905,1
19,20140317,1
19,20140324,1
19,20140331,1
19,20140407,1
19,20140414,1
19,20140421,1
19,20140428,1
19,20140505,1
19,20140512,1
19,20140519,1
19,20140527,1
19,20140602,1
19,20140609,1
19,20140616,1
19,20140623,1
19,20140630,1
19,20140707,1
19,20140714,1
19,20140721,1
19,20140728,1
19,20140804,1
19,20140811,1
19,20140818,1
19,20140825,1
19,20140902,1
20,20140606,1
20,20140613,1
20,20140620,1
20,20140627,1
20,20140711,1
20,20140718,1
20,20140725,1
20,20140801,1
20,20140808,1
20,20140815,1
20,20140822,1
20,20140829,1
21,20140510,1
21,20140511,1
21,20140517,1
21,20140518,1
21,20140524,1
21,20140525,1
21,20140526,1
21,20140531,1
21,20140601,1
21,20140607,1
21,20140608,1
21,20140614,1
21,20140615,1
21,20140621,1
21,20140622,1
21,20140628,1
21,20140629,1
21,20140704,1
21,20140705,1
21,20140706,1
21,20140712,1
21,20140713,1
21,20140719,1
21,20140720,1
21,20140726,1
21,20140727,1
21,20140802,1
21,20140803,1
21,20140809,1
21,20140810,1
21,20140816,1
21,20140817,1
21,20140823,1
21,20140824,1
21,20140830,1
21,20140831,1
21,20140901,1
21,20140906,1
22,20140315,1
22,20140316,1
22,20140322,1
22,20140323,1
22,20140329,1
22,20140330,1
22,20140405,1
22,20140406,1
22,20140412,1
22,20140413,1
22,20140419,1
22,20140420,1
22,20140426,1
22,20140427,1
22,20140503,1
22,20140504,1
23,20140313,1
23,20140314,1
23,20140317,1
23,20140318,1
23,20140319,1
23,20140320,1
23,20140321,1
23,20140324,1
23,20140325,1
23,20140326,1
23,20140327,1
23,20140328,1
23,20140331,1
23,20140401,1
23,20140402,1
23,20140403,1
23,20140404,1
23,20140407,1
23,20140408,1
23,20140409,1
23,20140410,1
23,20140411,1
23,20140414,1
23,20140415,1
23,20140416,1
23,20140417,1
23,20140418,1
23,20140421,1
23,20140422,1
23,20140423,1
23,20140424,1
23,20140425,1
23,20140428,1
23,20140429,1
23,20140430,1
23,20140501,1
23,20140502,1
23,20140505,1
23,20140506,1
23,20140507,1
23,20140508,1
23,20140509,1
23,20140512,1
23,20140513,1
23,20140514,1
23,20140515,1
23,20140516,1
23,20140519,1
23,20140520,1
23,20140521,1
23,20140522,1
23,20140523,1
23,20140527,1
23,20140528,1
23,20140529,1
23,20140530,1
23,20140602,1
23,20140603,1
23,20140604,1
23,20140605,1
23,20140609,1
23,20140610,1
23,20140611,1
23,20140612,1
23,20140616,1
23,20140617,1
23,20140618,1
23,20140619,1
23,20140623,1
23,20140624,1
23,20140625,1
23,20140626,1
23,20140630,1
23,20140701,1
23,20140702,1
23,20140703,1
23,20140707,1
23,20140708,1
23,20140709,1
23,20140710,1
23,20140714,1
23,20140715,1
23,20140716,1
23,20140717,1
23,20140721,1
23,20140722,1
23,20140723,1
23,20140724,1
23,20140728,1
23,20140729,1
23,20140730,1
23,20140731,1
23,20140804,1
23,20140805,1
23,20140806,1
23,20140807,1
23,20140811,1
23,20140812,1
23,20140813,1
23,20140814,1
23,20140818,1
23,20140819,1
23,20140820,1
23,20140821,1
23,20140825,1
23,20140826,1
23,20140827,1
23,20140828,1
23,20140902,1
23,20140903,1
23,20140904,1
23,20140905,1
24,20140829,1
25,20140606,1
25,20140613,1
25,20140620,1
25,20140627,1
25,20140711,1
25,20140718,1
25,20140725,1
25,20140801,1
25,20140808,1
25,20140815,1
25,20140822,1
26,20140523,1
26,20140703,1
27,20140313,1
27,20140314,1
27,20140317,1
27,20140318,1
27,20140319,1
27,20140320,1
27,20140321,1
27,20140324,1
27,20140325,1
27,20140326,1
27,20140327,1
27,20140328,1
27,20140331,1
27,20140401,1
27,20140402,1
27,20140403,1
27,20140404,1
27,20140407,1
27,20140408,1
27,20140409,1
27,20140410,1
27,20140411,1
27,20140414,1
27,20140415,1
27,20140416,1
27,20140417,1
27,20140418,1
27,20140421,1
27,20140422,1
27,20140423,1
27,20140424,1
27,20140425,1
27,20140428,1
27,20140429,1
27,20140430,1
27,20140501,1
27,20140502,1
27,20140505,1
27,20140506,1
27,20140507,1
27,20140508,1
27,20140509,1
27,20140512,1
27,20140513,1
27,20140514,1
27,20140515,1
27,20140516,1
27,20140519,1
27,20140520,1
27,20140521,1
27,20140522,1
27,20140527,1
27,20140528,1
27,20140529,1
27,20140530,1
27,20140602,1
27,20140603,1
27,20140604,1
27,20140605,1
27,20140609,1
27,20140610,1
27,20140611,1
27,20140612,1
27,20140616,1
27,20140617,1
27,20140618,1
27,20140619,1
27,20140623,1
27,20140624,1
27,20140625,1
27,20140626,1
27,20140630,1
27,20140701,1
27,20140702,1
27,20140707,1
27,20140708,1
27,20140709,1
27,20140710,1
27,20140714,1
27,20140715,1
27,20140716,1
27,20140717,1
27,20140721,1
27,20140722,1
27,20140723,1
27,20140724,1
27,20140728,1
27,20140729,1
27,20140730,1
27,20140731,1
27,20140804,1
27,20140805,1
27,20140806,1
27,20140807,1
27,20140811,1
27,20140812,1
27,20140813,1
27,20140814,1
27,20140818,1
27,20140819,1
27,20140820,1
27,20140821,1
27,20140825,1
27,20140826,1
27,20140827,1
27,20140828,1
27,20140902,1
27,20140903,1
27,20140904,1
27,20140905,1
28,20140315,1
28,20140322,1
28,20140329,1
28,20140405,1
28,20140412,1
28,20140419,1
28,20140426,1
28,20140503,1
28,20140510,1
28,20140517,1
28,20140524,1
28,20140525,1
28,20140531,1
28,20140607,1
28,20140614,1
28,20140621,1
28,20140628,1
28,20140704,1
28,20140705,1
28,20140712,1
28,20140719,1
28,20140726,1
28,20140802,1
28,20140809,1
28,20140816,1
28,20140823,1
28,20140830,1
28,20140831,1
29,20140316,1
29,20140323,1
29,20140330,1
29,20140406,1
29,20140413,1
29,20140420,1
29,20140427,1
29,20140504,1
29,20140511,1
29,20140518,1
29,20140526,1
29,20140601,1
29,20140608,1
29,20140615,1
29,20140622,1
29,20140629,1
